date,temp
1999-01,0
1999-02,1.4
1999-03,6.2
1999-04,12.5
1999-05,16.8
1999-06,21.5
1999-07,23.7
1999-08,24.3
1999-09,22
1999-10,13.7
1999-11,7.5
1999-12,1
2000-01,-0.5
2000-02,-0.7
2000-03,6
2000-04,11.3
2000-05,16.8
2000-06,21.4
2000-07,25.4
2000-08,25.2
2000-09,19.3
2000-10,14.1
2000-11,6.7
2000-12,1.4
2001-01,-2.3
2001-02,0.8
2001-03,5.3
2001-04,12.5
2001-05,18.1
2001-06,21.6
2001-07,25.4
2001-08,25
2001-09,20.4
2001-10,15.2
2001-11,6.5
2001-12,0.3
2002-01,1
2002-02,2.2
2002-03,7.7
2002-04,13.2
2002-05,16.7
2002-06,20.9
2002-07,24.3
2002-08,23.6
2002-09,19.8
2002-10,12.5
2002-11,4.5
2002-12,1.9
2003-01,-2.2
2003-02,2.1
2003-03,5.8
2003-04,12.3
2003-05,17.3
2003-06,20.7
2003-07,22.3
2003-08,23.6
2003-09,20.7
2003-10,13.2
2003-11,9.5
2003-12,1.7
2004-01,-1.2
2004-02,2.7
2004-03,6.2
2004-04,12.7
2004-05,17.2
2004-06,21.6
2004-07,25
2004-08,24.8
2004-09,20.6
2004-10,14
2004-11,8.7
2004-12,2.8
2005-01,-1.4
2005-02,-0.8
2005-03,4.5
2005-04,13
2005-05,16.8
2005-06,22.2
2005-07,24.7
2005-08,24.8
2005-09,21.5
2005-10,14
2005-11,8
2005-12,-2.6
2006-01,0.3
2006-02,0.9
2006-03,5.7
2006-04,11.1
2006-05,17.1
2006-06,21.1
2006-07,23
2006-08,26.3
2006-09,19.3
2006-10,16.5
2006-11,8.5
2006-12,1.7
2007-01,0.6
2007-02,3.8
2007-03,6.6
2007-04,11.4
2007-05,17.5
2007-06,21.5
2007-07,23.5
2007-08,25.9
2007-09,21.1
2007-10,14.7
2007-11,6.7
2007-12,2.3
2008-01,-0.5
2008-02,-0.7
2008-03,6.8
2008-04,12.8
2008-05,17.2
2008-06,20.3
2008-07,25.9
2008-08,24.5
2008-09,21.2
2008-10,15.5
2008-11,7.5
2008-12,1.8
2009-01,-1.4
2009-02,3.9
2009-03,6.7
2009-04,12.3
2009-05,18.1
2009-06,21.7
2009-07,23.5
2009-08,24.3
2009-09,20.7
2009-10,15
2009-11,7.5
2009-12,0.6
2010-01,-2.2
2010-02,2
2010-03,5.2
2010-04,9.6
2010-05,16.9
2010-06,22.2
2010-07,25.2
2010-08,26.6
2010-09,21.6
2010-10,14.2
2010-11,6.7
2010-12,0.5
2011-01,-5.2
2011-02,1.6
2011-03,4.3
2011-04,11
2011-05,17.1
2011-06,21.8
2011-07,24.9
2011-08,24.9
2011-09,20.8
2011-10,13.5
2011-11,10.7
2011-12,0.3
2012-01,-1.5
2012-02,-1.1
2012-03,5.4
2012-04,12.4
2012-05,18.1
2012-06,21.9
2012-07,25.2
2012-08,26.2
2012-09,19.9
2012-10,14
2012-11,6.2
2012-12,-2.1
2013-01,-2.5
2013-02,0.4
2013-03,6.4
2013-04,10.1
2013-05,17.6
2013-06,22.5
2013-07,26
2013-08,27
2013-09,20.9
2013-10,15.1
2013-11,6.7
2013-12,1.1
2014-01,0.2
2014-02,2.3
2014-03,7.5
2014-04,13.1
2014-05,18.2
2014-06,21.6
2014-07,24.8
2014-08,23.6
2014-09,20.6
2014-10,14.5
2014-11,8.5
2014-12,-0.9
2015-01,0.2
2015-02,1.7
2015-03,6.5
2015-04,12.5
2015-05,18.4
2015-06,21.5
2015-07,24.2
2015-08,25
2015-09,20.2
2015-10,14.7
2015-11,9.8
2015-12,3.2
2016-01,-1.3
2016-02,1.4
2016-03,6.9
2016-04,13.6
2016-05,18.4
2016-06,22.2
2016-07,25.2
2016-08,26.5
2016-09,21.4
2016-10,15.5
2016-11,7.5
2016-12,2.7
2017-01,-0.3
2017-02,1.4
2017-03,6
2017-04,13.6
2017-05,18.5
2017-06,21.6
2017-07,26.2
2017-08,25.2
2017-09,20.3
2017-10,15.1
2017-11,6.5
2017-12,-0.5
2018-01,-2.4
2018-02,-0.5
2018-03,7.9
2018-04,13.1
2018-05,17.7
2018-06,22.1
2018-07,26.6
2018-08,27.1
2018-09,20.2
2018-10,12.7
2018-11,7.7
2018-12,0.8
2019-01,-0.1
2019-02,2.1
2019-03,7.2
2019-04,11.7
2019-05,18.4
2019-06,21.2
2019-07,24.7
2019-08,26
2019-09,21.5
2019-10,15.5
2019-11,8.4
2019-12,2.5
