date,PH,NO2,SO2
2010-01-01,4.5,0.032,0.00775
2010-02-01,4.78,0.028,0.006
2010-03-01,5.34,0.024,0.00475
2010-04-01,5.23,0.026,0.005125
2010-05-01,4.82,0.024,0.0055
2010-06-01,5.3,0.025,0.00575
2010-07-01,4.7,0.017,0.004625
2010-08-01,4.83,0.017,0.004625
2010-09-01,5.04,0.02,0.004125
2010-10-01,4.8,0.026,0.004625
2010-11-01,4.73,0.032,0.006
2010-12-01,4.6,0.03,0.006625
2011-01-01,4,0.026,0.0065
2011-02-01,4.7,0.035,0.00725
2011-03-01,5.87,0.025,0.006
2011-04-01,4.78,0.026,0.005375
2011-05-01,5.11,0.024,0.00525
2011-06-01,4.8,0.022,0.005428571
2011-07-01,4.55,0.017,0.004875
2011-08-01,4.4,0.017,0.004375
2011-09-01,4.76,0.019,0.004125
2011-10-01,4.55,0.028,0.00475
2011-11-01,4.72,0.027,0.005125
2011-12-01,5,0.026,0.006
2012-01-01,3.83,0.026,0.00775
2012-02-01,4.8,0.026,0.0065
2012-03-01,5.25,0.024,0.00525
2012-04-01,5.12,0.024,0.00525
2012-05-01,4.7,0.025,0.006
2012-06-01,4.85,0.018,0.005125
2012-07-01,4.88,0.017,0.004875
2012-08-01,4.94,0.014,0.004
2012-09-01,4.69,0.02,0.004125
2012-10-01,4.27,0.026,0.004625
2012-11-01,4.47,0.027,0.005625
2012-12-01,4.64,0.029,0.006125
2013-01-01,5.18,0.034,0.007875
2013-02-01,4.85,0.028,0.006625
2013-03-01,5.2,0.027,0.00625
2013-04-01,5.19,0.024,0.005375
2013-05-01,4.58,0.024,0.00625
2013-06-01,4.7,0.021,0.005875
2013-07-01,4.71,0.015,0.005
2013-08-01,5.22,0.017,0.005375
2013-09-01,4.63,0.019,0.0045
2013-10-01,4.85,0.023,0.004375
2013-11-01,4.6,0.027,0.005125
2013-12-01,4.3,0.03,0.006625
2014-01-01,5.75,0.032,0.007875
2014-02-01,5.75,0.028,0.006125
2014-03-01,4.98,0.026,0.006
2014-04-01,5.04,0.028,0.00625
2014-05-01,5.67,0.023,0.006
2014-06-01,4.9,0.018,0.004875
2014-07-01,5.24,0.017,0.005
2014-08-01,4.68,0.018,0.00425
2014-09-01,5.2,0.021,0.0045
2014-10-01,4.84,0.025,0.0045
2014-11-01,4.55,0.03,0.005375
2014-12-01,4.36,0.026,0.00575
2015-01-01,4.5,0.028,0.006
2015-02-01,4.43,0.025,0.005875
2015-03-01,5.5,0.027,0.00625
2015-04-01,5.63,0.023,0.005125
2015-05-01,4.47,0.023,0.00625
2015-06-01,5.07,0.019,0.005375
2015-07-01,4.89,0.016,0.004428571
2015-08-01,4.82,0.017,0.00475
2015-09-01,4.73,0.019,0.004
2015-10-01,5.28,0.025,0.004125
2015-11-01,4.71,0.025,0.004
2015-12-01,4.33,0.028,0.005
2016-01-01,4.15,0.026,0.005
2016-02-01,4.95,0.024,0.00525
2016-03-01,5.63,0.027,0.00525
2016-04-01,5.47,0.025,0.005125
2016-05-01,5.07,0.022,0.005375
2016-06-01,5.23,0.019,0.00475
2016-07-01,4.91,0.016,0.0045
2016-08-01,5.5,0.016,0.004
2016-09-01,5.18,0.018,0.003875
2016-10-01,5.28,0.021,0.003875
2016-11-01,4.6,0.027,0.004571429
2016-12-01,4.55,0.028,0.0045
2017-01-01,3.87,0.027,0.004625
2017-02-01,4.5,0.025,0.004625
2017-03-01,4.38,0.027,0.00475
2017-04-01,5.53,0.022,0.004625
2017-05-01,6.31,0.021,0.004875
2017-06-01,5.66,0.018,0.004375
2017-07-01,4.86,0.016,0.004125
2017-08-01,4.79,0.015,0.0035
2017-09-01,4.98,0.019,0.003714286
2017-10-01,4.67,0.019,0.003285714
2017-11-01,4.93,0.027,0.004
2017-12-01,5.11,0.027,0.004125
2018-01-01,5.01,0.027,0.004375
2018-02-01,5.26,0.026,0.004625
2018-03-01,5.22,0.024,0.004
2018-04-01,5.31,0.021,0.004
2018-05-01,5.26,0.018,0.003875
2018-06-01,5.27,0.017,0.004125
2018-07-01,6.01,0.014,0.004375
2018-08-01,5.3,0.012,0.00375
2018-09-01,5.2,0.015,0.003
2018-10-01,5.33,0.021,0.00325
2018-11-01,4.87,0.031,0.003875
2018-12-01,4.86,0.027,0.004
2019-01-01,4.8,0.029,0.0045
2019-02-01,5.3,0.026,0.004
2019-03-01,5.24,0.024,0.003875
2019-04-01,5.65,0.021,0.003875
2019-05-01,5.75,0.021,0.004625
2019-06-01,5.37,0.016,0.003875
2019-07-01,5.62,0.014,0.0035
2019-08-01,5.2,0.013,0.003625
2019-09-01,5.42,0.015,0.00325
2019-10-01,5.4,0.019,0.003125
2019-11-01,5.01,0.026,0.003625
2019-12-01,5.14,0.028,0.003875
2020-01-01,5.52,0.025,0.00375
2020-02-01,5.34,0.023,0.003375
2020-03-01,5.46,0.019,0.003125
2020-04-01,6.38,0.015,0.003
2020-05-01,5.77,0.014,0.003125
2020-06-01,6.17,0.014,0.003125
2020-07-01,5.5,0.012,0.002625
2020-08-01,5.04,0.011,0.003
2020-09-01,5.68,0.013,0.00275
2020-10-01,6.17,0.019,0.002875
2020-11-01,5.12,0.023,0.003
2020-12-01,4.09,0.025,0.00325
