date,PM10
2010.01,52.875
2010.02,46
2010.03,62.75
2010.04,47.75
2010.05,57
2010.06,47.75
2010.07,34.375
2010.08,35
2010.09,32.25
2010.1,42.75
2010.11,69.375
2010.12,60
2011.01,41
2011.02,66.25
2011.03,61.75
2011.04,56.25
2011.05,72.75
2011.06,48
2011.07,34
2011.08,31.125
2011.09,32.5
2011.1,44.625
2011.11,43
2011.12,43.625
2012.01,52.5
2012.02,48
2012.03,48.375
2012.04,52.25
2012.05,56.25
2012.06,39.125
2012.07,33.125
2012.08,26.875
2012.09,32.125
2012.1,39.25
2012.11,45.75
2012.12,39
2013.01,59.5
2013.02,46.75
2013.03,59.75
2013.04,49.875
2013.05,57.25
2013.06,44.5
2013.07,36.875
2013.08,38.75
2013.09,31.75
2013.1,34
2013.11,42.25
2013.12,49
2014.01,57.125
2014.02,51.125
2014.03,53
2014.04,53.125
2014.05,64.75
2014.06,43.75
2014.07,38.875
2014.08,30.625
2014.09,33
2014.1,35.75
2014.11,44.625
2014.12,41.875
2015.01,49.5
2015.02,70.375
2015.03,65
2015.04,45.625
2015.05,49.75
2015.06,43.375
2015.07,34
2015.08,36
2015.09,28.75
2015.1,47.6
2015.11,35
2015.12,46.75
2016.01,46.625
2016.02,45.125
2016.03,56.75
2016.04,64.875
2016.05,53
2016.06,41
2016.07,29.75
2016.08,32.25
2016.09,35.25
2016.1,37
2016.11,50.28571429
2016.12,45.125
2017.01,48.875
2017.02,42.875
2017.03,54.375
2017.04,55.25
2017.05,60.25
2017.06,40.875
2017.07,34.125
2017.08,24.85714286
2017.09,36.14285714
2017.1,32.14285714
2017.11,47.5
2017.12,45.625
2018.01,47.875
2018.02,50.875
2018.03,47.125
2018.04,56.625
2018.05,42.625
2018.06,38.375
2018.07,29.125
2018.08,24
2018.09,23.875
2018.1,31.75
2018.11,54.5
2018.12,43.625
2019.01,57.125
2019.02,54.375
2019.03,60.375
2019.04,41.125
2019.05,48.875
2019.06,32.375
2019.07,27.125
2019.08,28.125
2019.09,24.375
2019.1,30.375
2019.11,39.75
2019.12,38
2020.01,37.375
2020.02,36.125
2020.03,38.25
2020.04,39.25
2020.05,33.625
2020.06,32.625
2020.07,19.125
2020.08,24.625
2020.09,22.125
2020.1,32.25
2020.11,36.25
2020.12,36.375
2021.01,37.5
2021.02,41.5
2021.03,62.875
2021.04,40.125
2021.05,48.75
2021.06,31.25
2021.07,20.125
